,date,traffic_class,place,lat,lng
0,2023-02-09 07:12:43+00:00,free flow,Agidingbi,6.623137799999999,3.356525
1,2023-02-09 07:18:48+00:00,heavy traffic,Lekki conservation,6.4415182,3.535771
2,2023-02-09 07:18:49+00:00,free flow,Ikate,6.507242499999999,3.3451358
3,2023-02-09 07:29:07+00:00,heavy traffic,Cele/ijesha fly over bridge,6.505908000000001,3.3236003
4,2023-02-09 07:29:08+00:00,heavy traffic,Ago roundabout,6.5166755,3.3191264
5,2023-02-09 07:29:08+00:00,heavy traffic,Ago roundabout,6.5166755,3.3191264
6,2023-02-09 07:29:08+00:00,free flow,Ago roundabout,6.5166755,3.3191264
7,2023-02-09 07:29:08+00:00,heavy traffic,Oke-afa,6.5296305,3.3119941
8,2023-02-09 07:29:08+00:00,heavy traffic,Ishaga,6.5171179,3.3534544
9,2023-02-09 07:29:09+00:00,free flow,Iyana isolo,6.531492,3.3359385
10,2023-02-09 07:29:09+00:00,free flow,Ilasa,6.4149122,3.2838282
11,2023-02-09 07:52:10+00:00,free flow,Abule egba,6.6483728,3.2991753
12,2023-02-09 07:52:11+00:00,free flow,Oniwaya,6.6175593,3.3203396
13,2023-02-09 07:52:12+00:00,free flow,Odo eran,6.507346,3.32512
14,2023-02-09 07:52:12+00:00,free flow,Balogun Pencinema,6.627953499999999,3.3245996
15,2023-02-09 07:52:12+00:00,heavy traffic,Odo eran,6.507346,3.32512
16,2023-02-09 07:52:13+00:00,free flow,Ascon junction,6.4112238,2.9389705
17,2023-02-09 07:52:13+00:00,heavy traffic,Akani Doherty,6.6138727,3.3320166
18,2023-02-09 07:52:13+00:00,free flow,Akani Doherty,6.6138727,3.3320166
19,2023-02-09 07:59:50+00:00,heavy traffic,Bayo Kuku,6.4594291,3.4322445
20,2023-02-09 07:59:51+00:00,heavy traffic,Falomo roundabout,6.4441991,3.4271887
21,2023-02-09 07:59:52+00:00,heavy traffic,Obalende Ubridge,6.4483221,3.410724
22,2023-02-09 09:43:16+00:00,breakdown,Bonny Camp,6.4361178,3.4061781
23,2023-02-09 10:04:03+00:00,breakdown,Orile,6.4395906,3.4619172
24,2023-02-09 10:06:34+00:00,breakdown,Bonny Camp,6.4361178,3.4061781
25,2023-02-09 12:21:39+00:00,free flow,Odoeran,6.507346,3.32512
26,2023-02-09 14:07:38+00:00,free flow,Ojota bridge,6.5873161,3.3785711
27,2023-02-09 14:07:38+00:00,free flow,Alapere,6.5909029,3.3918106
28,2023-02-09 14:07:38+00:00,free flow,Ogudu,6.574910699999999,3.3918106
29,2023-02-09 14:07:38+00:00,free flow,Ifako,6.6849677,3.2885455
30,2023-02-09 14:07:39+00:00,free flow,Obalende bridge,6.4483221,3.410724
31,2023-02-09 14:07:39+00:00,heavy traffic,Ogudu,6.574910699999999,3.3918106
32,2023-02-09 14:46:38+00:00,free flow,Osolo Way,6.5399002,3.3328098
33,2023-02-09 14:46:40+00:00,free flow,Osolo Way,6.5399002,3.3328098
34,2023-02-09 15:35:00+00:00,heavy traffic,Ikeja,6.601838,3.3514863
35,2023-02-09 15:44:52+00:00,free flow,Okekoto,6.6273996,3.3174882
36,2023-02-09 15:44:52+00:00,free flow,Okekoto,6.6273996,3.3174882
37,2023-02-09 15:44:53+00:00,free flow,Dopemu,6.612897999999999,3.3139943
38,2023-02-09 15:44:53+00:00,free flow,Capitol Road,6.6153407,3.3242223
39,2023-02-09 15:46:22+00:00,free flow,Oba Ogunji,6.6280062,3.3241295
40,2023-02-09 15:46:22+00:00,free flow,Odo Eran,6.507346,3.32512
41,2023-02-09 16:34:29+00:00,heavy traffic,Idiroko,6.6401727,2.7530936
42,2023-02-10 06:59:05+00:00,heavy traffic,Omole Estate.,6.6364462,3.3576864
43,2023-02-09 07:59:52+00:00,heavy traffic,Obalende Ubridge,6.4483221,3.410724
44,2023-02-09 09:43:16+00:00,breakdown,Bonny Camp,6.4361178,3.4061781
45,2023-02-09 10:04:03+00:00,breakdown,Orile,6.4395906,3.4619172
46,2023-02-09 10:06:34+00:00,breakdown,Bonny Camp,6.4361178,3.4061781
47,2023-02-09 12:21:39+00:00,free flow,Odoeran,6.507346,3.32512
48,2023-02-09 14:07:39+00:00,free flow,Obalende bridge,6.4483221,3.410724
49,2023-02-09 14:46:38+00:00,free flow,Osolo Way,6.5399002,3.3328098
50,2023-02-09 14:46:41+00:00,heavy traffic,Ikeja,6.601838,3.3514863
51,2023-02-09 17:32:06+00:00,free flow,Ishaga,6.5171179,3.3534544
52,2023-02-09 17:32:06+00:00,free flow,Fagba intersection,6.65764,3.3244683
53,2023-02-09 14:46:40+00:00,free flow,Osolo Way,6.5399002,3.3328098
54,2023-02-09 16:38:03+00:00,free flow,Iyana School,6.4619141,3.1578875
55,2023-02-09 16:38:03+00:00,free flow,Kosofe,6.6201123,3.4094629
56,2023-02-09 16:38:03+00:00,free flow,Mile 12,6.601532499999999,3.3968535
57,2023-02-09 18:06:49+00:00,heavy traffic,Ikeja,6.601838,3.3514863
58,2023-02-09 18:09:45+00:00,heavy traffic,Oke Afa,6.5296305,3.3119941
59,2023-02-09 18:09:45+00:00,heavy traffic,Ishaga,6.5171179,3.3534544
60,2023-02-10 08:36:05+00:00,accident,obalende bridge,6.4483221,3.410724
61,2023-02-10 08:36:05+00:00,accident,obalende bridge,6.4483221,3.410724
62,2023-02-10 08:36:05+00:00,heavy traffic,Third Mainland Bridge,6.502453000000001,3.4025137
63,2023-02-10 08:45:22+00:00,free flow,Igbosere,6.450402,3.4001358
